Blocking mean,Blocking SD,Blocking HDI 5%,Blocking HDI 95%,Precision,Hiding mean,Hiding SD,Hiding HDI 5%,Hiding HDI 95%,Precision,Inspecting mean,Inspecting SD,Inspecting HDI 5%,Inspecting HDI 95%,Precision,Item
-0.002,0.396,-0.649,0.648,1.2970000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,q1_blocking
0.003,0.398,-0.664,0.637,1.3010000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,q2_blocking
-0.001,0.499,-0.81,0.817,1.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,q3_blocking
-0.015,0.506,-0.844,0.811,1.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,q4_blocking
-0.0,0.512,-0.861,0.825,1.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,q5_blocking
0.0,0.475,-0.788,0.768,1.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,q6_blocking
-0.0,0.427,-0.707,0.704,1.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,q7_blocking
-0.009,0.467,-0.809,0.716,1.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,q8_blocking
0.006,0.442,-0.72,0.727,1.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,q9_blocking
-0.016,0.436,-0.705,0.72,1.4249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,q10_blocking
-0.007,0.504,-0.818,0.84,1.658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,q11_blocking
-0.003,0.455,-0.771,0.708,1.479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,q12_blocking
0.0,0.0,0.0,0.0,0.0,0.006,0.488,-0.786,0.807,1.593,0.0,0.0,0.0,0.0,0.0,q13_hiding
0.0,0.0,0.0,0.0,0.0,0.014,0.427,-0.722,0.682,1.404,0.0,0.0,0.0,0.0,0.0,q14_hiding
0.0,0.0,0.0,0.0,0.0,0.012,0.43,-0.693,0.713,1.406,0.0,0.0,0.0,0.0,0.0,q15_hiding
0.0,0.0,0.0,0.0,0.0,-0.001,0.542,-0.887,0.888,1.775,0.0,0.0,0.0,0.0,0.0,q16_hiding
0.0,0.0,0.0,0.0,0.0,-0.021,0.47,-0.775,0.753,1.528,0.0,0.0,0.0,0.0,0.0,q17_hiding
0.0,0.0,0.0,0.0,0.0,0.018,0.44,-0.689,0.749,1.438,0.0,0.0,0.0,0.0,0.0,q18_hiding
0.0,0.0,0.0,0.0,0.0,-0.012,0.409,-0.686,0.659,1.3450000000000002,0.0,0.0,0.0,0.0,0.0,q19_hiding
0.0,0.0,0.0,0.0,0.0,-0.016,0.499,-0.802,0.837,1.639,0.0,0.0,0.0,0.0,0.0,q20_hiding
0.0,0.0,0.0,0.0,0.0,0.009,0.504,-0.804,0.842,1.646,0.0,0.0,0.0,0.0,0.0,q21_hiding
0.0,0.0,0.0,0.0,0.0,0.008,0.427,-0.682,0.712,1.3940000000000001,0.0,0.0,0.0,0.0,0.0,q22_hiding
0.0,0.0,0.0,0.0,0.0,0.001,0.458,-0.786,0.714,1.5,0.0,0.0,0.0,0.0,0.0,q23_hiding
0.0,0.0,0.0,0.0,0.0,0.009,0.496,-0.796,0.841,1.637,0.0,0.0,0.0,0.0,0.0,q24_hiding
0.0,0.0,0.0,0.0,0.0,-0.002,0.49,-0.824,0.792,1.616,0.0,0.0,0.0,0.0,0.0,q25_hiding
0.0,0.0,0.0,0.0,0.0,-0.003,0.446,-0.756,0.713,1.4689999999999999,0.0,0.0,0.0,0.0,0.0,q26_hiding
0.0,0.0,0.0,0.0,0.0,-0.009,0.515,-0.855,0.835,1.69,0.0,0.0,0.0,0.0,0.0,q27_hiding
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.38,-0.618,0.609,1.2269999999999999,q28_inspecting
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016,0.405,-0.652,0.671,1.323,q29_inspecting
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.57,-0.867,0.961,1.8279999999999998,q30_inspecting
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003,0.489,-0.821,0.762,1.583,q31_inspecting
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.483,-0.748,0.832,1.58,q32_inspecting
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.616,-0.963,1.027,1.9899999999999998,q33_inspecting
