,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
nu[0],0.048,0.193,-0.271,0.36,0.003,0.002,3722.0,5227.0,1.0
nu[1],-0.093,0.196,-0.423,0.214,0.003,0.002,3975.0,4614.0,1.0
nu[2],0.169,0.21,-0.179,0.507,0.003,0.002,3747.0,4605.0,1.0
nu[3],-0.221,0.212,-0.572,0.119,0.004,0.003,3592.0,3623.0,1.0
nu[4],0.058,0.213,-0.293,0.397,0.004,0.003,3467.0,4073.0,1.0
nu[5],-0.134,0.205,-0.471,0.199,0.003,0.002,3628.0,4432.0,1.0
nu[6],-0.159,0.199,-0.49,0.153,0.003,0.002,4302.0,4595.0,1.0
nu[7],-0.001,0.204,-0.318,0.34,0.003,0.002,3531.0,4213.0,1.0
nu[8],-0.063,0.205,-0.393,0.271,0.003,0.002,4313.0,4819.0,1.0
nu[9],0.115,0.204,-0.208,0.454,0.003,0.002,4502.0,5190.0,1.0
nu[10],0.242,0.211,-0.085,0.599,0.004,0.003,3427.0,4285.0,1.0
nu[11],-0.046,0.204,-0.387,0.268,0.003,0.002,4118.0,4690.0,1.0
nu[12],-0.003,0.205,-0.345,0.329,0.003,0.002,4226.0,4987.0,1.0
nu[13],-0.117,0.192,-0.415,0.215,0.003,0.002,4143.0,4972.0,1.0
nu[14],-0.021,0.194,-0.337,0.291,0.003,0.002,4483.0,5114.0,1.0
nu[15],0.271,0.208,-0.07,0.609,0.003,0.002,3846.0,4696.0,1.0
nu[16],-0.025,0.206,-0.357,0.313,0.003,0.003,3949.0,4548.0,1.0
nu[17],0.19,0.2,-0.141,0.511,0.003,0.002,4163.0,4470.0,1.0
nu[18],0.03,0.193,-0.281,0.345,0.003,0.002,4494.0,5127.0,1.0
nu[19],-0.023,0.204,-0.358,0.309,0.003,0.002,4244.0,5055.0,1.0
nu[20],0.122,0.206,-0.22,0.455,0.003,0.002,3935.0,4346.0,1.0
nu[21],0.044,0.194,-0.283,0.353,0.003,0.002,4964.0,5464.0,1.0
nu[22],-0.091,0.195,-0.411,0.22,0.003,0.002,3975.0,4714.0,1.0
nu[23],-0.2,0.202,-0.533,0.124,0.003,0.002,3960.0,4696.0,1.0
nu[24],-0.019,0.205,-0.343,0.323,0.003,0.002,3795.0,4368.0,1.0
nu[25],-0.003,0.198,-0.321,0.319,0.003,0.002,4488.0,4940.0,1.0
nu[26],0.233,0.208,-0.105,0.572,0.004,0.003,3380.0,3842.0,1.0
nu[27],-0.003,0.184,-0.309,0.297,0.003,0.002,4347.0,4488.0,1.0
nu[28],0.146,0.19,-0.161,0.463,0.003,0.002,3746.0,4473.0,1.0
nu[29],-0.231,0.207,-0.555,0.115,0.004,0.002,3487.0,4475.0,1.0
nu[30],-0.006,0.197,-0.339,0.304,0.003,0.002,3647.0,4332.0,1.0
nu[31],-0.139,0.197,-0.462,0.177,0.003,0.002,3933.0,4174.0,1.0
nu[32],-0.082,0.218,-0.456,0.258,0.004,0.003,3371.0,4322.0,1.0
nu[33],0.317,0.219,-0.037,0.658,0.004,0.003,3398.0,4368.0,1.0
nu[34],-0.034,0.196,-0.364,0.276,0.003,0.002,4219.0,4787.0,1.0
nu[35],-0.064,0.188,-0.366,0.249,0.003,0.002,4284.0,4925.0,1.0
nu[36],-0.119,0.188,-0.421,0.186,0.003,0.002,4573.0,4894.0,1.0
nu[37],-0.095,0.202,-0.424,0.225,0.003,0.002,3840.0,4581.0,1.0
nu[38],0.119,0.193,-0.201,0.425,0.003,0.002,4125.0,4876.0,1.0
nu[39],-0.234,0.201,-0.554,0.097,0.003,0.002,3636.0,3962.0,1.0
nu[40],-0.088,0.21,-0.442,0.246,0.004,0.003,3560.0,4441.0,1.0
nu[41],0.05,0.196,-0.276,0.365,0.003,0.002,4159.0,4496.0,1.0
nu[42],-0.028,0.194,-0.338,0.301,0.003,0.002,4272.0,4718.0,1.0
nu[43],0.036,0.193,-0.291,0.335,0.003,0.002,4464.0,5321.0,1.0
